Month,Campaign,Channel,Spend,Impressions,Clicks,Conversions,Revenue
2023-01,LinkedIn Ads,Paid Social,5725,658375,15122,505,450326
2023-01,Google Search,Paid Search,5481,460404,11334,465,364607
2023-01,Email Nurture,Email,1504,169952,2324,174,145834
2023-01,Content / SEO,Organic,4883,747099,14895,520,371972
2023-01,Webinar Series,Events,10962,909846,23463,935,832847
2023-02,LinkedIn Ads,Paid Social,8135,512505,15425,1119,1005949
2023-02,Google Search,Paid Search,3923,353070,4229,98,116151
2023-02,Email Nurture,Email,8050,466900,9476,777,629072
2023-02,Content / SEO,Organic,9193,1268634,27083,1004,887107
2023-02,Webinar Series,Events,1584,106128,3079,108,110136
2023-03,LinkedIn Ads,Paid Social,9100,1437800,13451,503,533416
2023-03,Google Search,Paid Search,6502,1027316,26735,2383,1972685
2023-03,Email Nurture,Email,11857,1814121,44521,3132,2331447
2023-03,Content / SEO,Organic,10561,1900980,38095,1186,1272074
2023-03,Webinar Series,Events,6433,662599,20326,801,797364
2023-04,LinkedIn Ads,Paid Social,6917,698617,10768,273,148203
2023-04,Google Search,Paid Search,4570,552970,17756,455,190537
2023-04,Email Nurture,Email,5797,457963,12398,303,198462
2023-04,Content / SEO,Organic,7557,1103322,10681,836,533634
2023-04,Webinar Series,Events,10061,452745,14094,1037,653258
2023-05,LinkedIn Ads,Paid Social,1666,216580,3478,164,180450
2023-05,Google Search,Paid Search,10960,1939920,54672,3183,2657780
2023-05,Email Nurture,Email,4070,390720,6005,324,206630
2023-05,Content / SEO,Organic,9091,1300013,35819,2823,3178636
2023-05,Webinar Series,Events,12584,2214784,19330,919,734502
2023-06,LinkedIn Ads,Paid Social,1933,288017,3359,175,57095
2023-06,Google Search,Paid Search,5937,558078,11316,493,537009
2023-06,Email Nurture,Email,4790,704130,10429,268,79819
2023-06,Content / SEO,Organic,7760,1001040,14068,348,403924
2023-06,Webinar Series,Events,2082,97854,3291,111,33161
2023-07,LinkedIn Ads,Paid Social,3410,245520,5103,142,163574
2023-07,Google Search,Paid Search,7021,737205,21162,671,562746
2023-07,Email Nurture,Email,10288,709872,20586,647,366302
2023-07,Content / SEO,Organic,8333,991627,23349,1951,1219925
2023-07,Webinar Series,Events,12523,1127070,11329,774,663366
2023-08,LinkedIn Ads,Paid Social,2869,335673,10391,644,252042
2023-08,Google Search,Paid Search,13210,660500,11475,573,355790
2023-08,Email Nurture,Email,7607,966089,8058,398,290932
2023-08,Content / SEO,Organic,6758,892056,22444,1750,1628766
2023-08,Webinar Series,Events,6781,1173113,39965,1554,1590586
2023-09,LinkedIn Ads,Paid Social,8104,1320952,27147,2112,1742561
2023-09,Google Search,Paid Search,5535,564570,17179,447,487722
2023-09,Email Nurture,Email,4601,726958,17000,1135,669065
2023-09,Content / SEO,Organic,7582,932586,12039,419,424868
2023-09,Webinar Series,Events,5750,632500,14551,817,372365
2023-10,LinkedIn Ads,Paid Social,4639,668016,14156,1034,946482
2023-10,Google Search,Paid Search,9524,1571460,31587,669,368416
2023-10,Email Nurture,Email,6608,674016,10964,665,475740
2023-10,Content / SEO,Organic,8135,1203980,42029,2459,1484413
2023-10,Webinar Series,Events,7203,849954,12569,357,163212
2023-11,LinkedIn Ads,Paid Social,3214,568878,19156,1308,596732
2023-11,Google Search,Paid Search,10797,1187670,32736,2892,2205629
2023-11,Email Nurture,Email,5216,339040,10334,420,257044
2023-11,Content / SEO,Organic,5452,959552,10955,254,83861
2023-11,Webinar Series,Events,5328,383616,9675,703,263189
2023-12,LinkedIn Ads,Paid Social,1927,215824,4461,226,101612
2023-12,Google Search,Paid Search,2413,390906,4331,106,77635
2023-12,Email Nurture,Email,8944,474032,5734,440,507406
2023-12,Content / SEO,Organic,2833,291799,3267,240,201074
2023-12,Webinar Series,Events,11599,1125103,32564,1518,1693820
2024-01,LinkedIn Ads,Paid Social,5546,826354,13424,852,716413
2024-01,Google Search,Paid Search,11125,1034625,25750,992,351854
2024-01,Email Nurture,Email,4822,284498,3478,169,154503
2024-01,Content / SEO,Organic,7720,370560,5280,366,339189
2024-01,Webinar Series,Events,7520,744480,24527,1843,1575863
2024-02,LinkedIn Ads,Paid Social,10271,924390,18005,1046,916111
2024-02,Google Search,Paid Search,13429,1020604,10132,320,180160
2024-02,Email Nurture,Email,11392,1287296,25562,1349,755121
2024-02,Content / SEO,Organic,6967,759403,16336,891,315419
2024-02,Webinar Series,Events,2334,350100,9744,606,184100
2024-03,LinkedIn Ads,Paid Social,4814,216630,7579,508,268198
2024-03,Google Search,Paid Search,2371,199164,4123,270,303152
2024-03,Email Nurture,Email,4200,634200,15943,867,315538
2024-03,Content / SEO,Organic,6356,794500,13243,361,154493
2024-03,Webinar Series,Events,7180,1191880,18810,1620,1666138
2024-04,LinkedIn Ads,Paid Social,9095,1418820,14723,554,214202
2024-04,Google Search,Paid Search,12014,2054394,62192,1248,1347612
2024-04,Email Nurture,Email,7938,420714,5496,249,243005
2024-04,Content / SEO,Organic,10083,534399,7212,421,477186
2024-04,Webinar Series,Events,7625,1250500,14103,1242,1043481
2024-05,LinkedIn Ads,Paid Social,5082,406560,6663,139,91093
2024-05,Google Search,Paid Search,4888,337272,6900,194,202840
2024-05,Email Nurture,Email,8528,972192,21135,827,866651
2024-05,Content / SEO,Organic,14937,1523574,30979,933,424852
2024-05,Webinar Series,Events,9871,730454,22884,900,906125
2024-06,LinkedIn Ads,Paid Social,7516,1270204,19324,389,368759
2024-06,Google Search,Paid Search,13209,2179485,68353,3503,2541756
2024-06,Email Nurture,Email,6404,1146316,20845,1778,1920299
2024-06,Content / SEO,Organic,15140,1529140,35840,1302,1293538
2024-06,Webinar Series,Events,2513,404593,10940,840,533561
2024-07,LinkedIn Ads,Paid Social,11009,858702,18353,414,307232
2024-07,Google Search,Paid Search,10005,650325,20552,1044,797485
2024-07,Email Nurture,Email,8187,622212,11865,781,329591
2024-07,Content / SEO,Organic,8358,894306,15329,1049,920864
2024-07,Webinar Series,Events,13576,2389376,43630,1839,1730903
2024-08,LinkedIn Ads,Paid Social,12473,2220194,19913,493,424309
2024-08,Google Search,Paid Search,14706,1441188,40587,2044,757440
2024-08,Email Nurture,Email,10736,697840,13942,956,1062259
2024-08,Content / SEO,Organic,2610,140940,2243,103,42634
